gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Female,Loyal Customer,35,Business Travel,Business,2122.0,3,3,3,3,4,4,2,0.0,0.0,Satisfied
Male,Loyal Customer,72,Business Travel,Business,2122.0,3,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,53,Business Travel,Business,2122.0,1,1,1,2,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,42,Business Travel,Business,2122.0,2,5,5,5,2,2,2,0.0,6.0,Dissatisfied
Male,Loyal Customer,47,Business Travel,Business,2122.0,2,2,2,2,5,5,5,59.0,64.0,Satisfied
Male,Loyal Customer,42,Business Travel,Business,2122.0,4,5,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,43,Business Travel,Business,2122.0,2,2,2,5,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,26,Business Travel,Business,2123.0,3,3,3,4,4,4,4,49.0,51.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,2123.0,2,2,2,4,4,5,4,21.0,11.0,Satisfied
Male,Loyal Customer,35,Business Travel,Business,2123.0,0,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,40,Business Travel,Business,2123.0,0,1,1,3,4,4,3,60.0,45.0,Satisfied
Male,Loyal Customer,48,Business Travel,Business,2123.0,1,1,1,2,5,5,4,2.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,2123.0,4,4,4,5,5,4,5,3.0,0.0,Unknown
Female,Loyal Customer,22,Business Travel,Business,2123.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,47,Business Travel,Business,2123.0,1,1,1,3,5,5,5,5.0,0.0,Satisfied
Male,Loyal Customer,48,Business Travel,Business,2123.0,2,4,4,1,2,2,3,9.0,0.0,Dissatisfied
Male,Loyal Customer,42,Business Travel,Business,2124.0,4,4,3,3,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,24,Business Travel,Business,2124.0,4,2,3,4,4,5,4,0.0,45.0,Dissatisfied
Female,Loyal Customer,39,Business Travel,Business,2124.0,3,2,2,1,3,3,2,40.0,56.0,Dissatisfied
Male,Loyal Customer,41,Business Travel,Business,2124.0,1,1,1,3,5,5,4,5.0,4.0,Satisfied
Female,Loyal Customer,43,Business Travel,Business,2124.0,2,2,2,4,4,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,2125.0,4,4,4,4,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,2125.0,3,3,3,2,2,2,3,0.0,0.0,Satisfied
Female,Loyal Customer,25,Business Travel,Business,2125.0,4,4,4,4,4,3,4,0.0,0.0,Unknown
Male,Disloyal Customer,27,Business Travel,Business,2125.0,2,2,2,5,5,3,5,0.0,0.0,Dissatisfied
Female,Loyal Customer,26,Business Travel,Business,2125.0,4,5,4,4,4,2,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,50,Business Travel,Business,2125.0,2,2,2,2,4,4,3,0.0,21.0,Satisfied
Female,Disloyal Customer,27,Business Travel,Business,2125.0,5,5,5,5,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,51,Business Travel,Business,2125.0,4,4,4,3,4,4,4,45.0,37.0,Satisfied
Male,Loyal Customer,44,Business Travel,Business,2125.0,4,4,4,5,3,3,4,5.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,2125.0,3,4,4,5,3,3,2,0.0,0.0,Dissatisfied
Female,Loyal Customer,41,Business Travel,Business,2125.0,2,4,5,4,2,2,3,19.0,0.0,Dissatisfied
Male,Loyal Customer,58,Business Travel,Business,2125.0,2,2,4,2,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,22,Business Travel,Business,2125.0,1,1,1,5,5,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,2125.0,5,4,5,5,3,3,3,3.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,2125.0,5,5,5,5,4,4,5,0.0,18.0,Satisfied
Female,Loyal Customer,52,Business Travel,Business,2125.0,1,1,1,3,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,34,Business Travel,Business,2125.0,3,2,2,2,3,3,3,0.0,0.0,Dissatisfied
Male,Loyal Customer,47,Business Travel,Business,2125.0,4,4,4,3,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,27,Business Travel,Business,2125.0,3,3,4,3,3,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,60,Business Travel,Business,2125.0,2,2,2,5,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,2125.0,2,2,2,3,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,43,Business Travel,Business,2125.0,2,2,3,5,4,4,4,0.0,22.0,Satisfied
Female,Loyal Customer,57,Business Travel,Business,2125.0,1,1,1,4,4,4,3,14.0,0.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,2125.0,1,1,2,2,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,2125.0,1,1,1,4,4,4,4,126.0,122.0,Unknown
Female,Disloyal Customer,40,Business Travel,Business,2125.0,1,1,1,5,5,4,5,3.0,0.0,Dissatisfied
Male,Disloyal Customer,35,Business Travel,Business,2125.0,3,3,3,3,3,4,3,9.0,0.0,Dissatisfied
Female,Loyal Customer,57,Business Travel,Business,2125.0,2,2,2,4,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,57,Business Travel,Business,2125.0,3,3,3,4,5,5,5,0.0,0.0,Satisfied
Female,Disloyal Customer,27,Business Travel,Business,2125.0,3,3,3,3,3,5,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,53,Business Travel,Business,2125.0,2,2,2,3,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,8,Business Travel,Business,337.0,5,5,3,5,4,3,4,2.0,0.0,Satisfied
Female,Loyal Customer,38,Business Travel,Business,2125.0,4,4,4,4,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,49,Business Travel,Business,2125.0,2,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,24,Business Travel,Business,2125.0,1,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,53,Business Travel,Business,2125.0,5,5,5,5,4,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,2125.0,2,2,4,5,4,4,4,2.0,0.0,Satisfied
Female,Loyal Customer,42,Business Travel,Business,2125.0,4,4,1,2,5,5,5,0.0,1.0,Satisfied
Female,Loyal Customer,42,Business Travel,Business,2125.0,3,3,3,5,2,2,4,0.0,0.0,Satisfied
Female,Loyal Customer,36,Business Travel,Business,2125.0,3,2,2,5,3,3,3,3.0,10.0,Dissatisfied
Male,Loyal Customer,55,Business Travel,Business,2125.0,2,2,2,2,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,42,Business Travel,Business,2125.0,2,2,5,2,4,4,5,7.0,0.0,Satisfied
Male,Disloyal Customer,46,Business Travel,Business,2125.0,4,4,4,5,5,4,5,0.0,0.0,Dissatisfied
Male,Loyal Customer,49,Business Travel,Business,2125.0,2,2,2,4,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,27,Business Travel,Business,2125.0,5,5,5,4,4,5,4,6.0,0.0,Satisfied
Male,Loyal Customer,56,Business Travel,Business,2125.0,5,5,5,2,2,2,3,0.0,0.0,Satisfied
Male,Loyal Customer,59,Business Travel,Business,2125.0,2,2,2,3,4,4,5,117.0,117.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,2125.0,3,3,3,2,2,5,2,3.0,0.0,Unknown
Male,Loyal Customer,42,Business Travel,Business,2125.0,1,3,1,2,5,5,4,43.0,30.0,Satisfied
Female,Loyal Customer,35,Business Travel,Business,2125.0,3,1,1,1,3,3,4,63.0,55.0,Dissatisfied
Female,Loyal Customer,49,Business Travel,Business,2125.0,4,4,4,2,4,4,4,0.0,0.0,Satisfied
Female,Disloyal Customer,41,Business Travel,Business,2125.0,1,1,1,2,2,5,2,0.0,0.0,Dissatisfied
Female,Loyal Customer,36,Business Travel,Business,2126.0,2,2,2,5,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,51,Business Travel,Business,2126.0,1,1,1,3,5,5,3,4.0,29.0,Satisfied
Male,Loyal Customer,54,Business Travel,Business,2126.0,2,2,2,3,2,2,3,0.0,0.0,Satisfied
Female,Loyal Customer,25,Business Travel,Business,2126.0,2,2,2,5,5,3,5,0.0,0.0,Unknown
Male,Loyal Customer,43,Business Travel,Business,2126.0,4,4,4,4,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,2126.0,3,3,3,2,5,5,3,1.0,0.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,2127.0,2,2,2,3,4,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,45,Business Travel,Business,2127.0,4,4,4,4,5,5,5,44.0,41.0,Satisfied
Male,Loyal Customer,36,Business Travel,Business,2127.0,4,1,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,55,Business Travel,Business,2127.0,4,4,4,4,4,4,3,1.0,0.0,Satisfied
Female,Loyal Customer,35,Business Travel,Business,2128.0,2,2,2,1,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,2128.0,2,2,2,4,4,4,4,0.0,20.0,Satisfied
Female,Loyal Customer,59,Business Travel,Business,2128.0,4,4,4,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,26,Business Travel,Business,2128.0,1,1,1,3,3,4,3,16.0,0.0,Satisfied
Male,Loyal Customer,51,Business Travel,Business,2128.0,4,4,4,2,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,2129.0,2,2,2,5,4,4,4,49.0,59.0,Satisfied
Male,Loyal Customer,41,Business Travel,Business,2129.0,2,2,4,4,4,4,5,0.0,5.0,Satisfied
Female,Loyal Customer,45,Business Travel,Business,2129.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,52,Business Travel,Business,2129.0,2,2,3,5,2,2,3,95.0,85.0,Dissatisfied
Female,Loyal Customer,34,Business Travel,Business,2129.0,3,3,3,4,3,3,2,0.0,0.0,Dissatisfied
Female,Loyal Customer,55,Business Travel,Business,2129.0,5,5,5,3,5,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,51,Business Travel,Business,2129.0,2,2,2,5,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,54,Business Travel,Business,2129.0,2,3,3,4,2,2,2,84.0,77.0,Dissatisfied
Female,Loyal Customer,32,Business Travel,Business,2129.0,3,3,3,4,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,58,Business Travel,Business,2129.0,4,4,4,5,4,4,3,0.0,0.0,Satisfied
Female,Disloyal Customer,39,Business Travel,Business,2129.0,2,2,2,4,5,5,3,139.0,123.0,Neutral
Female,Loyal Customer,48,Business Travel,Business,2129.0,5,5,5,3,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,2130.0,2,3,3,4,2,2,2,14.0,27.0,Dissatisfied
Female,Loyal Customer,25,Business Travel,Business,2130.0,5,5,5,4,5,5,3,0.0,0.0,Unknown
Male,Loyal Customer,68,Business Travel,Business,2130.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,53,Business Travel,Business,2130.0,1,1,1,2,5,5,4,22.0,20.0,Satisfied
Male,Loyal Customer,59,Business Travel,Business,2130.0,3,3,5,2,2,2,3,0.0,0.0,Satisfied
Male,Loyal Customer,51,Business Travel,Business,2130.0,3,3,3,4,4,4,4,14.0,15.0,Satisfied
Female,Loyal Customer,52,Business Travel,Business,2130.0,4,4,4,2,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,43,Business Travel,Business,2130.0,4,4,4,2,3,3,4,5.0,0.0,Satisfied
Male,Loyal Customer,32,Business Travel,Business,2130.0,4,5,5,4,4,3,4,7.0,18.0,Dissatisfied
Male,Loyal Customer,51,Business Travel,Business,2131.0,4,4,4,5,5,5,3,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,2131.0,2,2,2,2,2,2,5,0.0,0.0,Satisfied
Female,Loyal Customer,57,Business Travel,Business,2131.0,2,2,2,4,2,2,5,0.0,0.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,2131.0,0,4,1,4,4,3,4,25.0,16.0,Satisfied
Male,Loyal Customer,60,Business Travel,Business,2131.0,5,5,5,5,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,52,Business Travel,Business,2131.0,0,4,1,4,2,2,4,11.0,13.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,2131.0,1,1,5,5,2,2,3,0.0,6.0,Satisfied
Female,Loyal Customer,53,Business Travel,Business,2131.0,2,4,2,5,5,5,5,48.0,49.0,Satisfied
Male,Loyal Customer,46,Business Travel,Business,2131.0,3,3,3,3,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,15,Business Travel,Business,2131.0,2,2,2,2,2,3,2,32.0,33.0,Dissatisfied
Male,Loyal Customer,60,Business Travel,Business,2131.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,68,Business Travel,Business,2131.0,2,2,3,2,5,3,3,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,2131.0,5,5,5,4,5,5,4,48.0,22.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,2131.0,1,1,1,4,5,5,2,0.0,0.0,Satisfied
Female,Loyal Customer,58,Business Travel,Business,2131.0,4,4,4,2,5,5,3,18.0,0.0,Satisfied
Male,Loyal Customer,60,Business Travel,Business,2131.0,1,1,1,2,4,4,3,12.0,0.0,Satisfied
Female,Loyal Customer,27,Business Travel,Business,2132.0,2,4,4,2,2,3,2,28.0,33.0,Dissatisfied
Male,Loyal Customer,55,Business Travel,Business,2132.0,4,4,4,2,5,5,3,3.0,0.0,Satisfied
Female,Loyal Customer,26,Business Travel,Business,2132.0,2,2,2,2,2,4,2,12.0,28.0,Dissatisfied
Male,Loyal Customer,41,Business Travel,Business,2132.0,1,1,1,2,5,5,5,3.0,4.0,Satisfied
Female,Loyal Customer,43,Business Travel,Business,2132.0,3,3,3,5,3,3,3,15.0,13.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,2132.0,4,4,3,3,5,5,4,0.0,4.0,Satisfied
Female,Loyal Customer,32,Business Travel,Business,2133.0,4,4,4,4,4,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,45,Business Travel,Business,2133.0,5,5,5,2,5,5,3,0.0,0.0,Satisfied
Female,Loyal Customer,51,Business Travel,Business,2133.0,2,5,5,2,2,2,2,114.0,104.0,Dissatisfied
Male,Loyal Customer,57,Business Travel,Business,2133.0,4,4,4,2,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,53,Business Travel,Business,2133.0,3,5,3,3,4,4,3,2.0,0.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,2133.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,39,Business Travel,Business,2133.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,33,Business Travel,Business,2133.0,5,5,5,5,5,4,5,113.0,106.0,Satisfied
Female,Loyal Customer,59,Business Travel,Business,2133.0,4,4,4,4,2,2,5,113.0,98.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,2133.0,4,4,4,5,5,5,5,1.0,0.0,Satisfied
Female,Loyal Customer,45,Business Travel,Business,2133.0,2,2,2,4,4,4,4,53.0,43.0,Satisfied
Female,Disloyal Customer,26,Business Travel,Business,2133.0,3,3,3,2,2,5,2,0.0,1.0,Dissatisfied
Female,Loyal Customer,43,Business Travel,Business,2133.0,5,2,5,3,3,3,4,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,2133.0,1,1,1,2,3,1,2,0.0,0.0,Dissatisfied
Female,Disloyal Customer,25,Business Travel,Business,2133.0,5,4,5,5,4,5,5,0.0,0.0,Unknown
Female,Loyal Customer,47,Business Travel,Business,2133.0,3,3,3,4,4,4,3,0.0,1.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,2133.0,3,3,3,3,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,61,Personal Travel,Business,2133.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,49,Business Travel,Business,2133.0,1,1,1,5,5,5,5,0.0,1.0,Satisfied
Female,Disloyal Customer,27,Business Travel,Business,2133.0,3,3,3,3,3,4,3,0.0,0.0,Dissatisfied
Male,Loyal Customer,56,Personal Travel,Business,2133.0,3,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,47,Business Travel,Business,2133.0,2,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,51,Business Travel,Business,2133.0,1,1,1,5,5,5,3,31.0,38.0,Satisfied
Female,Loyal Customer,38,Business Travel,Business,2133.0,4,4,4,4,5,5,3,10.0,1.0,Satisfied
Male,Loyal Customer,38,Business Travel,Business,2133.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,32,Personal Travel,Business,2133.0,2,4,2,3,3,5,3,130.0,122.0,Dissatisfied
Male,Loyal Customer,36,Business Travel,Business,2133.0,3,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,57,Business Travel,Business,2133.0,2,2,2,5,4,4,3,0.0,1.0,Satisfied
Male,Loyal Customer,27,Business Travel,Business,2133.0,3,3,3,5,5,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,53,Business Travel,Business,2133.0,5,5,5,4,5,5,4,5.0,0.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,2133.0,1,1,1,4,5,5,4,72.0,61.0,Satisfied
Male,Loyal Customer,36,Business Travel,Business,2133.0,4,4,4,4,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,42,Business Travel,Business,2133.0,2,2,2,2,2,2,4,9.0,0.0,Satisfied
Female,Loyal Customer,57,Business Travel,Business,2133.0,1,1,1,4,1,1,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,47,Business Travel,Business,2133.0,1,1,1,4,3,3,4,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,2133.0,2,2,2,3,4,4,4,1.0,0.0,Satisfied
Female,Loyal Customer,36,Business Travel,Business,2133.0,2,5,5,5,2,2,4,17.0,26.0,Dissatisfied
Male,Loyal Customer,59,Business Travel,Business,2133.0,5,5,5,3,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,33,Business Travel,Business,2133.0,4,3,3,4,1,3,4,146.0,129.0,Dissatisfied
Female,Disloyal Customer,20,Business Travel,Business,2133.0,1,4,1,4,5,3,4,54.0,35.0,Dissatisfied
Male,Disloyal Customer,38,Business Travel,Business,2133.0,4,4,4,3,3,3,3,27.0,0.0,Satisfied
Male,Loyal Customer,48,Business Travel,Business,2133.0,3,3,3,4,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,2133.0,3,3,3,2,4,4,4,14.0,0.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,2133.0,2,2,3,5,2,2,5,96.0,75.0,Satisfied
Male,Loyal Customer,47,Business Travel,Business,2133.0,3,3,3,5,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,49,Business Travel,Business,2133.0,1,1,1,2,5,5,3,0.0,2.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,2133.0,4,4,4,2,5,5,5,0.0,3.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,2133.0,5,5,5,2,2,4,2,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,2133.0,2,3,3,1,2,2,2,0.0,18.0,Dissatisfied
Male,Loyal Customer,55,Business Travel,Business,2133.0,2,2,5,5,2,2,3,43.0,44.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,2133.0,4,4,4,3,5,5,5,0.0,8.0,Satisfied
Female,Loyal Customer,60,Business Travel,Business,2133.0,3,3,3,2,4,4,4,1.0,3.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,2133.0,4,4,4,5,5,3,5,0.0,0.0,Unknown
Female,Loyal Customer,60,Business Travel,Business,2133.0,4,4,4,5,4,4,5,5.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,2134.0,2,2,2,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,57,Business Travel,Business,2134.0,5,5,5,3,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,40,Business Travel,Business,2134.0,2,2,2,1,4,4,2,0.0,0.0,Satisfied
Male,Loyal Customer,44,Business Travel,Business,2134.0,2,2,2,4,4,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,47,Business Travel,Business,2134.0,4,4,4,5,4,4,5,0.0,25.0,Satisfied
Male,Loyal Customer,69,Business Travel,Business,2134.0,1,1,1,4,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,2134.0,1,3,3,3,1,1,2,0.0,13.0,Dissatisfied
Male,Loyal Customer,57,Business Travel,Business,2134.0,1,1,1,3,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,47,Business Travel,Business,2134.0,1,1,1,5,5,5,5,4.0,0.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,2134.0,3,3,3,5,5,5,5,30.0,24.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,2134.0,2,3,3,3,2,2,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,42,Business Travel,Business,2135.0,3,3,5,5,5,5,4,0.0,2.0,Satisfied
Male,Loyal Customer,57,Business Travel,Business,2135.0,1,1,1,5,5,5,5,6.0,2.0,Satisfied
Male,Loyal Customer,43,Business Travel,Business,2135.0,1,4,4,4,1,1,4,1.0,0.0,Dissatisfied
Female,Loyal Customer,73,Business Travel,Business,2135.0,3,1,2,4,3,3,4,0.0,0.0,Dissatisfied
Female,Loyal Customer,49,Business Travel,Business,2135.0,1,1,4,4,5,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,2135.0,2,2,2,2,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,2135.0,2,3,3,2,2,4,2,0.0,0.0,Unknown
Male,Loyal Customer,46,Business Travel,Business,2135.0,3,5,5,3,3,3,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,41,Business Travel,Business,2135.0,2,2,2,3,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,58,Business Travel,Business,2136.0,2,1,2,4,2,2,3,9.0,0.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,2136.0,2,1,1,2,2,3,2,23.0,96.0,Neutral
Female,Loyal Customer,48,Business Travel,Business,2136.0,2,2,2,3,5,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,26,Business Travel,Business,2136.0,5,5,5,5,5,3,5,0.0,0.0,Dissatisfied
Female,Loyal Customer,32,Business Travel,Business,2136.0,5,5,5,4,4,3,4,0.0,0.0,Satisfied
Male,Loyal Customer,53,Business Travel,Business,2136.0,1,1,1,5,4,4,5,14.0,0.0,Satisfied
Male,Loyal Customer,34,Business Travel,Business,2136.0,4,4,5,1,4,4,3,5.0,0.0,Dissatisfied
Male,Loyal Customer,43,Business Travel,Business,2136.0,0,1,1,3,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,56,Business Travel,Business,2136.0,3,3,5,2,5,5,4,21.0,55.0,Satisfied
Female,Loyal Customer,51,Personal Travel,Business,2136.0,2,4,2,3,5,5,3,81.0,45.0,Dissatisfied
Female,Loyal Customer,41,Business Travel,Business,2136.0,4,4,4,2,4,4,3,6.0,4.0,Dissatisfied
Female,Loyal Customer,69,Personal Travel,Business,2136.0,1,5,1,2,1,1,3,0.0,1.0,Dissatisfied
Female,Loyal Customer,27,Business Travel,Business,2136.0,4,4,4,5,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,2136.0,4,4,4,5,2,2,5,0.0,0.0,Satisfied
Male,Loyal Customer,10,Personal Travel,Business,337.0,0,2,3,5,4,3,4,2.0,0.0,Satisfied
Male,Loyal Customer,44,Business Travel,Business,2136.0,5,5,5,3,5,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,2136.0,2,2,2,4,5,5,5,36.0,6.0,Satisfied
Male,Loyal Customer,24,Business Travel,Business,2136.0,2,2,2,4,4,5,4,0.0,45.0,Satisfied
Male,Loyal Customer,36,Business Travel,Business,2136.0,2,5,5,4,2,2,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,57,Business Travel,Business,2136.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,47,Business Travel,Business,2137.0,4,4,4,5,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,54,Business Travel,Business,2137.0,3,3,3,2,5,5,5,79.0,62.0,Satisfied
Male,Loyal Customer,35,Business Travel,Business,2137.0,1,1,1,5,4,4,5,3.0,5.0,Satisfied
Male,Loyal Customer,44,Business Travel,Business,2137.0,5,5,5,2,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,41,Business Travel,Business,2137.0,4,4,4,3,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,60,Business Travel,Business,2137.0,5,5,5,5,4,4,4,0.0,1.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,2137.0,3,2,2,2,3,3,4,20.0,10.0,Dissatisfied
Female,Loyal Customer,56,Business Travel,Business,2138.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,47,Business Travel,Business,2138.0,3,3,3,3,5,5,2,33.0,9.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,2138.0,2,2,2,3,3,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,41,Business Travel,Business,2138.0,5,3,5,2,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,2139.0,3,3,3,3,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,52,Business Travel,Business,2139.0,1,1,5,2,4,4,4,0.0,7.0,Satisfied
Male,Loyal Customer,26,Business Travel,Business,2139.0,5,5,5,4,4,4,4,2.0,0.0,Satisfied
Female,Loyal Customer,49,Business Travel,Business,2139.0,2,2,2,3,2,2,3,0.0,0.0,Satisfied
Male,Loyal Customer,11,Personal Travel,Business,2139.0,1,4,1,2,2,4,2,21.0,13.0,Dissatisfied
Female,Loyal Customer,59,Business Travel,Business,2139.0,2,1,1,4,2,2,4,42.0,21.0,Dissatisfied
Male,Loyal Customer,46,Business Travel,Business,2139.0,4,4,1,4,5,5,4,0.0,2.0,Satisfied
Female,Loyal Customer,59,Business Travel,Business,2139.0,3,5,4,4,3,3,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,57,Business Travel,Business,2139.0,3,3,2,3,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,2139.0,3,3,3,2,2,2,4,7.0,0.0,Satisfied
Female,Loyal Customer,56,Business Travel,Business,2139.0,2,2,2,2,5,5,4,3.0,0.0,Satisfied
Male,Loyal Customer,15,Personal Travel,Business,2139.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,27,Personal Travel,Business,2139.0,4,5,4,3,3,4,3,2.0,0.0,Dissatisfied
Female,Disloyal Customer,39,Business Travel,Business,2139.0,3,3,3,2,2,5,2,0.0,0.0,Neutral
